year,offences,reportedOffences
1999,All recorded offences,1016216
2000,All recorded offences,994233
2001,All recorded offences,1057360
2002,All recorded offences,1080741
2003,All recorded offences,1060930
2004,All recorded offences,1015121
2005,All recorded offences,984125
2006,All recorded offences,921779
2007,All recorded offences,862032
2008,All recorded offences,844911
2009,All recorded offences,829406
2010,All recorded offences,822961
2011,All recorded offences,814626
2012,All recorded offences,771566
2013,All recorded offences,700805
2014,All recorded offences,709309
2015,All recorded offences,740644
2016,All recorded offences,643299
